GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsServiceImpl,0,44,0,0,0,13,0,3,0,3
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsImpl,0,35,0,6,0,11,0,9,0,6
yoga-app,com.openclassrooms.starterjwt.payload.response,JwtResponse,0,24,0,0,0,9,0,1,0,1
yoga-app,com.openclassrooms.starterjwt.payload.response,MessageResponse,4,9,0,0,2,4,1,2,1,2
yoga-app,com.openclassrooms.starterjwt.services,SessionService,1,153,2,10,0,30,2,15,0,11
yoga-app,com.openclassrooms.starterjwt.services,UserService,0,19,0,0,0,6,0,3,0,3
yoga-app,com.openclassrooms.starterjwt.services,TeacherService,0,18,0,0,0,5,0,3,0,3
yoga-app,com.openclassrooms.starterjwt.security,WebSecurityConfig,0,71,0,0,0,14,0,6,0,6
yoga-app,com.openclassrooms.starterjwt.security.jwt,AuthTokenFilter,5,71,2,6,1,20,2,6,0,4
yoga-app,com.openclassrooms.starterjwt.security.jwt,AuthEntryPointJwt,0,55,0,0,0,13,0,3,0,3
yoga-app,com.openclassrooms.starterjwt.security.jwt,JwtUtils,7,85,0,0,2,21,0,5,0,5
yoga-app,com.openclassrooms.starterjwt.exception,NotFoundException,0,3,0,0,0,1,0,1,0,1
yoga-app,com.openclassrooms.starterjwt.exception,BadRequestException,0,3,0,0,0,1,0,1,0,1
yoga-app,com.openclassrooms.starterjwt.controllers,UserController,0,71,0,6,0,20,0,6,0,3
yoga-app,com.openclassrooms.starterjwt.controllers,TeacherController,0,43,0,2,0,12,0,4,0,3
yoga-app,com.openclassrooms.starterjwt.controllers,SessionController,0,145,0,4,0,36,0,11,0,9
yoga-app,com.openclassrooms.starterjwt.controllers,AuthController,0,111,1,3,0,32,1,4,0,3
yoga-app,com.openclassrooms.starterjwt.payload.request,LoginRequest,0,17,0,0,0,7,0,5,0,5
yoga-app,com.openclassrooms.starterjwt.mapper,SessionMapperImpl,19,197,5,17,2,44,6,13,2,6
yoga-app,com.openclassrooms.starterjwt.mapper,TeacherMapperImpl,0,125,0,12,0,31,0,11,0,5
yoga-app,com.openclassrooms.starterjwt.mapper,SessionMapper,0,3,0,0,0,1,0,1,0,1
yoga-app,com.openclassrooms.starterjwt.mapper,UserMapperImpl,0,152,0,12,0,37,0,11,0,5
yoga-app,com.openclassrooms.starterjwt,SpringBootSecurityJwtApplication,5,3,0,0,2,1,1,1,1,1
